Fornecedor,Categoria,Sub-Categoria,Produto,Marca/Mod.,Requer manut,Preço,dpr,Obs.
Adptolim,Acabamentos,Acabamento,Acabamento acrilico 20 lts,,,0,1,Acabamentos 5 ou 20 lts estudo caso a caso diferentes tipos de trafego. marcas. preços. Consultar a DI e o inspetor da limpeza. Checar metragem.
Adptolim,Acabamentos,Acabamento,acabamento acrilico 5 lts,,,0,1,Acabamentos 5 ou 20 lts estudo caso a caso diferentes tipos de trafego. marcas. preços. Consultar a DI e o inspetor da limpeza. Checar metragem.
Adptolim,Acabamentos,Acabamento,cera incolor acrílica convencional 1 lt,tipo bravo,,9.9,1,Checar metragem
Adptolim,Acabamentos,Acabamento,cera incolor acrílica convencional 5 lt,tipo bravo,,43.9,1,Checar metragem
Adptolim,Acabamentos,Acabamento,haste e base aplicador cera 45cm,,,0,12,
Adptolim,Acabamentos,Acabamento,luva do aplicador 45 cm,,,0,1,
Adptolim,Acabamentos,Acabamento,removedor de acabamentos 20 lts,,,0,1,Fazer estudo caso a caso. procurar descritivo do processo de impermeabilização em fornecedores dinatok. spartan (limpeza pura) e adptolim. Diferentes procedimentos e marcas dependendo de pisos externos e internos.
Adptolim,Acabamentos,Acabamento,removedor de acabamentos 5 lts,,,0,1,Fazer estudo caso a caso. procurar descritivo do processo de impermeabilização em fornecedores dinatok. spartan (limpeza pura) e adptolim. Diferentes procedimentos e marcas dependendo de pisos externos e internos.
Adptolim,Acabamentos,Acabamento,selador para acabamentos 20 lts,,,0,1,Fazer estudo caso a caso. procurar descritivo do processo de impermeabilização em fornecedores dinatok. spartan (limpeza pura) e adptolim. Diferentes procedimentos e marcas dependendo de pisos externos e internos.
Adptolim,Acabamentos,Acabamento,selador para acabamentos 5 lts,,,0,1,Para fazer no flor da aldeia são 60m2 entre o hall externo (20m) e a área da portaria(40M). enxague da remoção com deterg neutro esperar secar 24hs. Aplicador e luva de aplicação não usar pano e rodo na aplicação. Comprar 5 lts a mais de acabamento pq na compra abaixo faltou p uma manutenção posterior. Na primeira impermeabilização compramos na limpeza pura dez/16: 1. usamos o trend setter da spartan (a dinatok não tem o equivalente. acho melhor continuar com a spartan. há um orçamento da adptolim na pasta email em orçamento jul17) pq é área externa e foi muito bom 5lts foi muito justo melhor 10 ou 15 lts e 2. removedor lim magico super removedor de 2lts. 3. Usamos cloro para clarear o piso externo 2lts. Repetimos a compra em jul17 na limpeza pura mesmo pq deu certo e tem prodts de 2lts.
CAMPOLI,Acabamentos,Acabamento,limpador resíduos cimento e argamassa - Decrust B 5 L,,,73.5,1,Para fazer no flor da aldeia são 60m2 entre o hall externo (20m) e a área da portaria(40M). enxague da remoção com deterg neutro esperar secar 24hs. Aplicador e luva de aplicação não usar pano e rodo na aplicação. Comprar 5 lts a mais de acabamento pq na compra abaixo faltou p uma manutenção posterior. Na primeira impermeabilização compramos na limpeza pura dez/16: 1. usamos o trend setter da spartan (a dinatok não tem o equivalente. acho melhor continuar com a spartan. há um orçamento da adptolim na pasta email em orçamento jul17) pq é área externa e foi muito bom 5lts foi muito justo melhor 10 ou 15 lts e 2. removedor lim magico super removedor de 2lts. 3. Usamos cloro para clarear o piso externo 2lts. Repetimos a compra em jul17 na limpeza pura mesmo pq deu certo e tem prodts de 2lts.
CAMPOLI,Descartáveis,Descartável,Copo água 180ml cx c/ 2500,,,54.9,1,Avaliar no cliente o que ele já usa. Copos cuidado para que não seja uma marca muito ruim causando desperdicio em descartes
